seq;vac_seq;dist;CC;CC_number
299;13640;1924;CC257;257
300;6620;1015;CC354;354
300;6701;5467;CC354;354
300;6720;2676;CC354;354
300;13640;2528;CC354;354
301;6620;582;CC464;464
301;6701;5078;CC464;464
301;6720;2324;CC464;464
301;13640;2219;CC464;464
302;6620;5671;CC354;354
302;6701;7718;CC354;354
302;6720;5628;CC354;354
302;13640;4349;CC354;354
303;6620;181;CC48;48
303;6701;4665;CC48;48
303;6720;1971;CC48;48
303;13640;1852;CC48;48
304;6620;633;CC443;443
304;6701;5088;CC443;443
304;6720;2283;CC443;443
304;13640;2096;CC443;443
306;6620;5895;CC702;702
306;6701;5953;CC702;702
306;6720;6455;CC702;702
306;13640;7037;CC702;702
308;6620;1555;CC354;354
308;6701;6052;CC354;354
308;6720;2426;CC354;354
308;13640;3073;CC354;354
309;6620;1678;CC45;45
309;6701;5205;CC45;45
309;6720;1045;CC45;45
309;13640;3255;CC45;45
311;6620;170;CC257;257
311;6701;4883;CC257;257
311;6720;2125;CC257;257
311;13640;1821;CC257;257
312;6620;2463;CC45;45
312;6701;4513;CC45;45
312;6720;1983;CC45;45
312;13640;4050;CC45;45
315;6620;2127;CC573;573
315;6701;5625;CC573;573
315;6720;948;CC573;573
315;13640;3595;CC573;573
317;6620;1611;CC52;52
317;6701;4442;CC52;52
317;6720;3348;CC52;52
317;13640;3237;CC52;52
320;6620;231;CC21;21
320;6701;4707;CC21;21
320;6720;1996;CC21;21
320;13640;1870;CC21;21
321;6620;2561;CC45;45
321;6701;4512;CC45;45
321;6720;1953;CC45;45
321;13640;4062;CC45;45
323;6620;2031;CC607;607
323;6701;6542;CC607;607
323;6720;2491;CC607;607
323;13640;3422;CC607;607
324;6620;6164;CC45;45
324;6701;7416;CC45;45
324;6720;5911;CC45;45
324;13640;5542;CC45;45
330;6620;37;CC257;257
330;6701;4795;CC257;257
330;6720;2055;CC257;257
330;13640;1924;CC257;257
331;6620;724;CC21;21
331;6701;5219;CC21;21
331;6720;2465;CC21;21
331;13640;2366;CC21;21
334;6620;2675;CC283;283
334;6701;6433;CC283;283
334;6720;2525;CC283;283
334;13640;4242;CC283;283
336;6620;37;CC257;257
336;6701;4795;CC257;257
336;6720;2055;CC257;257
336;13640;1924;CC257;257
337;6620;1489;CC574;574
337;6701;4400;CC574;574
337;6720;3169;CC574;574
337;13640;3120;CC574;574
339;6620;740;CC52;52
339;6701;5230;CC52;52
339;6720;2477;CC52;52
339;13640;2367;CC52;52
340;6620;170;CC257;257
340;6701;4883;CC257;257
340;6720;2125;CC257;257
340;13640;1821;CC257;257
342;6620;2463;CC45;45
342;6701;4513;CC45;45
342;6720;1983;CC45;45
342;13640;4050;CC45;45
344;6620;6172;CC353;353
344;6701;7326;CC353;353
344;6720;5684;CC353;353
344;13640;7254;CC353;353
345;6620;5749;CC433;433
345;6701;7424;CC433;433
345;6720;5411;CC433;433
345;13640;6771;CC433;433
347;6620;2142;CC48;48
347;6701;5302;CC48;48
347;6720;3836;CC48;48
347;13640;3780;CC48;48
348;6620;582;CC464;464
348;6701;5078;CC464;464
348;6720;2324;CC464;464
348;13640;2219;CC464;464
349;6620;2977;CC573;573
349;6701;5988;CC573;573
349;6720;2637;CC573;573
349;13640;2652;CC573;573
351;6620;251;CC21;21
351;6701;4737;CC21;21
351;6720;1984;CC21;21
351;13640;1888;CC21;21
355;6620;37;CC257;257
355;6701;4795;CC257;257
355;6720;2055;CC257;257
355;13640;1924;CC257;257
356;6620;13229;CC354;354
356;6701;11884;CC354;354
356;6720;12764;CC354;354
356;13640;11985;CC354;354
357;6620;2549;CC661;661
357;6701;5795;CC661;661
357;6720;2626;CC661;661
357;13640;2452;CC661;661
359;6620;220;CC21;21
359;6701;4714;CC21;21
359;6720;1983;CC21;21
359;13640;1870;CC21;21
360;6620;2127;CC573;573
360;6701;5625;CC573;573
360;6720;948;CC573;573
360;13640;3595;CC573;573
364;6620;7222;CC607;607
364;6701;9705;CC607;607
364;6720;7066;CC607;607
364;13640;6845;CC607;607
367;6620;3797;CC661;661
367;6701;4818;CC661;661
367;6720;2967;CC661;661
367;13640;5036;CC661;661
368;6620;1545;CC48;48
368;6701;4977;CC48;48
368;6720;846;CC48;48
368;13640;2924;CC48;48
369;6620;2043;CC433;433
369;6701;5477;CC433;433
369;6720;1230;CC433;433
369;13640;3561;CC433;433
370;6620;1071;CC21;21
370;6701;3978;CC21;21
370;6720;2851;CC21;21
370;13640;2730;CC21;21
371;6620;2470;CC45;45
371;6701;4523;CC45;45
371;6720;1968;CC45;45
371;13640;4055;CC45;45
372;6620;1260;CC354;354
372;6701;5743;CC354;354
372;6720;2872;CC354;354
372;13640;2520;CC354;354
374;6620;224;CC353;353
374;6701;4711;CC353;353
374;6720;1990;CC353;353
374;13640;1867;CC353;353
375;6620;1139;CC574;574
375;6701;4050;CC574;574
375;6720;2801;CC574;574
375;13640;2739;CC574;574
376;6620;1071;CC21;21
376;6701;3978;CC21;21
376;6720;2851;CC21;21
376;13640;2730;CC21;21
378;6620;1746;CC45;45
378;6701;5321;CC45;45
378;6720;1230;CC45;45
378;13640;3368;CC45;45
379;6620;1071;CC21;21
379;6701;3978;CC21;21
379;6720;2851;CC21;21
379;13640;2730;CC21;21
380;6620;5895;CC702;702
380;6701;5953;CC702;702
380;6720;6455;CC702;702
380;13640;7037;CC702;702
381;6620;6035;CC353;353
381;6701;6681;CC353;353
381;6720;5924;CC353;353
381;13640;5509;CC353;353
382;6620;2925;CC45;45
382;6701;4901;CC45;45
382;6720;2351;CC45;45
382;13640;4469;CC45;45
384;6620;314;CC21;21
384;6701;4772;CC21;21
384;6720;2051;CC21;21
384;13640;1762;CC21;21
385;6620;37;CC257;257
385;6701;4795;CC257;257
385;6720;2055;CC257;257
385;13640;1924;CC257;257
387;6620;191;CC464;464
387;6701;4701;CC464;464
387;6720;1960;CC464;464
387;13640;1832;CC464;464
388;6620;2214;CC433;433
388;6701;5639;CC433;433
388;6720;864;CC433;433
388;13640;3680;CC433;433
389;6620;1473;CC661;661
389;6701;4927;CC661;661
389;6720;711;CC661;661
389;13640;2992;CC661;661
390;6620;1092;CC354;354
390;6701;5607;CC354;354
390;6720;2848;CC354;354
390;13640;1082;CC354;354
392;6620;1494;CC45;45
392;6701;4963;CC45;45
392;6720;803;CC45;45
392;13640;3034;CC45;45
393;6620;170;CC257;257
393;6701;4883;CC257;257
393;6720;2125;CC257;257
393;13640;1821;CC257;257
394;6620;226;CC353;353
394;6701;4709;CC353;353
394;6720;1986;CC353;353
394;13640;1865;CC353;353
395;6620;1034;CC443;443
395;6701;5517;CC443;443
395;6720;2758;CC443;443
395;13640;2464;CC443;443
396;6620;3941;CC354;354
396;6701;6809;CC354;354
396;6720;5653;CC354;354
396;13640;3077;CC354;354
397;6620;2792;CC661;661
397;6701;5958;CC661;661
397;6720;2284;CC661;661
397;13640;4327;CC661;661
401;6620;3126;CC702;702
401;6701;6122;CC702;702
401;6720;1924;CC702;702
401;13640;4594;CC702;702
405;6620;1477;CC45;45
405;6701;4951;CC45;45
405;6720;789;CC45;45
405;13640;3007;CC45;45
406;6620;2463;CC45;45
406;6701;4513;CC45;45
406;6720;1983;CC45;45
406;13640;4050;CC45;45
409;6620;1015;CC354;354
409;6701;5467;CC354;354
409;6720;2676;CC354;354
409;13640;2528;CC354;354
411;6620;1489;CC574;574
411;6701;4400;CC574;574
411;6720;3169;CC574;574
411;13640;3120;CC574;574
412;6620;5154;CC574;574
412;6701;5258;CC574;574
412;6720;5514;CC574;574
412;13640;6009;CC574;574
414;6620;2324;CC443;443
414;6701;6839;CC443;443
414;6720;4022;CC443;443
414;13640;2194;CC443;443
416;6620;2412;CC45;45
416;6701;5883;CC45;45
416;6720;1741;CC45;45
416;13640;3847;CC45;45
417;6620;37;CC257;257
417;6701;4795;CC257;257
417;6720;2055;CC257;257
417;13640;1924;CC257;257
418;6620;609;CC21;21
418;6701;5057;CC21;21
418;6720;2322;CC21;21
418;13640;2137;CC21;21
421;6620;229;CC21;21
421;6701;4706;CC21;21
421;6720;1994;CC21;21
421;13640;1869;CC21;21
422;6620;1611;CC52;52
422;6701;4442;CC52;52
422;6720;3348;CC52;52
422;13640;3237;CC52;52
423;6620;147;CC21;21
423;6701;4711;CC21;21
423;6720;2003;CC21;21
423;13640;1860;CC21;21
424;6620;170;CC257;257
424;6701;4883;CC257;257
424;6720;2125;CC257;257
424;13640;1821;CC257;257
427;6620;5949;CC574;574
427;6701;4600;CC574;574
427;6720;6361;CC574;574
427;13640;7043;CC574;574
428;6620;170;CC257;257
428;6701;4883;CC257;257
428;6720;2125;CC257;257
428;13640;1821;CC257;257
429;6620;5163;CC45;45
429;6701;7262;CC45;45
429;6720;5180;CC45;45
429;13640;4883;CC45;45
430;6620;6130;CC661;661
430;6701;6009;CC661;661
430;6720;6509;CC661;661
430;13640;7132;CC661;661
433;6620;37;CC257;257
433;6701;4795;CC257;257
433;6720;2055;CC257;257
433;13640;1924;CC257;257
434;6620;2341;CC45;45
434;6701;5452;CC45;45
434;6720;1712;CC45;45
434;13640;3772;CC45;45
435;6620;37;CC257;257
435;6701;4795;CC257;257
435;6720;2055;CC257;257
435;13640;1924;CC257;257
437;6620;37;CC257;257
437;6701;4795;CC257;257
437;6720;2055;CC257;257
437;13640;1924;CC257;257
438;6620;1075;CC48;48
438;6701;3887;CC48;48
438;6720;2856;CC48;48
438;13640;2734;CC48;48
440;6620;2528;CC45;45
440;6701;4598;CC45;45
440;6720;2064;CC45;45
440;13640;3991;CC45;45
441;6620;37;CC257;257
441;6701;4795;CC257;257
441;6720;2055;CC257;257
441;13640;1924;CC257;257
443;6620;1528;CC45;45
443;6701;5016;CC45;45
443;6720;862;CC45;45
443;13640;2946;CC45;45
444;6620;170;CC257;257
444;6701;4883;CC257;257
444;6720;2125;CC257;257
444;13640;1821;CC257;257
445;6620;460;CC257;257
445;6701;5164;CC257;257
445;6720;2397;CC257;257
445;13640;2207;CC257;257
446;6620;1795;CC45;45
446;6701;5281;CC45;45
446;6720;1167;CC45;45
446;13640;3298;CC45;45
447;6620;4759;CC45;45
447;6701;7651;CC45;45
447;6720;4062;CC45;45
447;13640;4364;CC45;45
448;6620;7923;CC661;661
448;6701;7489;CC661;661
448;6720;7641;CC661;661
448;13640;8872;CC661;661
449;6620;2705;CC45;45
449;6701;6260;CC45;45
449;6720;2201;CC45;45
449;13640;4178;CC45;45
451;6620;2408;CC283;283
451;6701;6183;CC283;283
451;6720;2275;CC283;283
451;13640;3996;CC283;283
452;6620;37;CC257;257
452;6701;4795;CC257;257
452;6720;2055;CC257;257
452;13640;1924;CC257;257
453;6620;2138;CC45;45
453;6701;4864;CC45;45
453;6720;1857;CC45;45
453;13640;3559;CC45;45
458;6620;2705;CC45;45
458;6701;6260;CC45;45
458;6720;2201;CC45;45
458;13640;4178;CC45;45
460;6620;1667;CC257;257
460;6701;6331;CC257;257
460;6720;3519;CC257;257
460;13640;3375;CC257;257
461;6620;201;CC607;607
461;6701;4691;CC607;607
461;6720;1978;CC607;607
461;13640;1845;CC607;607
462;6620;1066;CC48;48
462;6701;3974;CC48;48
462;6720;2848;CC48;48
462;13640;2728;CC48;48
463;6620;1476;CC45;45
463;6701;4950;CC45;45
463;6720;788;CC45;45
463;13640;3006;CC45;45
466;6620;219;CC21;21
466;6701;4715;CC21;21
466;6720;1982;CC21;21
466;13640;1872;CC21;21
467;6620;2263;CC45;45
467;6701;4174;CC45;45
467;6720;1732;CC45;45
467;13640;3815;CC45;45
469;6620;1126;CC574;574
469;6701;4036;CC574;574
469;6720;2823;CC574;574
469;13640;2761;CC574;574
470;6620;359;CC354;354
470;6701;4831;CC354;354
470;6720;2086;CC354;354
470;13640;1788;CC354;354
1762;6620;1034;CC443;443
1762;6701;5517;CC443;443
1762;6720;2758;CC443;443
1762;13640;2464;CC443;443
1771;6620;5529;CC45;45
1771;6701;3397;CC45;45
1771;6720;6209;CC45;45
1771;13640;6090;CC45;45
1774;6620;1015;CC354;354
1774;6701;5467;CC354;354
1774;6720;2676;CC354;354
1774;13640;2528;CC354;354
1775;6620;2213;CC45;45
1775;6701;5728;CC45;45
1775;6720;1572;CC45;45
1775;13640;3815;CC45;45
1776;6620;2156;CC45;45
1776;6701;5594;CC45;45
1776;6720;1487;CC45;45
1776;13640;3625;CC45;45
1791;6620;552;CC353;353
1791;6701;4679;CC353;353
1791;6720;2273;CC353;353
1791;13640;1507;CC353;353
1793;6620;1015;CC354;354
1793;6701;5467;CC354;354
1793;6720;2676;CC354;354
1793;13640;2528;CC354;354
1794;6620;37;CC257;257
1794;6701;4795;CC257;257
1794;6720;2055;CC257;257
1794;13640;1924;CC257;257
1795;6620;1761;CC574;574
1795;6701;6206;CC574;574
1795;6720;2510;CC574;574
1795;13640;3269;CC574;574
1799;6620;634;CC443;443
1799;6701;5091;CC443;443
1799;6720;2281;CC443;443
1799;13640;2086;CC443;443
1800;6620;1729;CC45;45
1800;6701;5156;CC45;45
1800;6720;497;CC45;45
1800;13640;3231;CC45;45
1801;6620;2838;CC257;257
1801;6701;6906;CC257;257
1801;6720;3797;CC257;257
1801;13640;4358;CC257;257
1802;6620;724;CC21;21
1802;6701;5219;CC21;21
1802;6720;2465;CC21;21
1802;13640;2366;CC21;21
1803;6620;5396;CC661;661
1803;6701;5284;CC661;661
1803;6720;5782;CC661;661
1803;13640;6406;CC661;661
1804;6620;237;CC52;52
1804;6701;4708;CC52;52
1804;6720;1997;CC52;52
1804;13640;1893;CC52;52
1805;6620;7222;CC607;607
1805;6701;9705;CC607;607
1805;6720;7066;CC607;607
1805;13640;6845;CC607;607
1806;6620;1467;CC48;48
1806;6701;4349;CC48;48
1806;6720;3179;CC48;48
1806;13640;3012;CC48;48
1807;6620;5441;CC581;581
1807;6701;5196;CC581;581
1807;6720;6110;CC581;581
1807;13640;4912;CC581;581
1808;6620;2675;CC283;283
1808;6701;6433;CC283;283
1808;6720;2525;CC283;283
1808;13640;4242;CC283;283
1810;6620;1795;CC573;573
1810;6701;5241;CC573;573
1810;6720;438;CC573;573
1810;13640;3309;CC573;573
1811;6620;1037;CC443;443
1811;6701;5521;CC443;443
1811;6720;2761;CC443;443
1811;13640;2473;CC443;443
1812;6620;170;CC257;257
1812;6701;4883;CC257;257
1812;6720;2125;CC257;257
1812;13640;1821;CC257;257
1814;6620;5903;CC702;702
1814;6701;5962;CC702;702
1814;6720;6445;CC702;702
1814;13640;7037;CC702;702
1817;6620;2443;CC45;45
1817;6701;6067;CC45;45
1817;6720;1946;CC45;45
1817;13640;3755;CC45;45
1818;6620;2031;CC607;607
1818;6701;6542;CC607;607
1818;6720;2491;CC607;607
1818;13640;3422;CC607;607
1819;6620;6980;CC433;433
1819;6701;8326;CC433;433
1819;6720;7939;CC433;433
1819;13640;6622;CC433;433
1822;6620;258;CC21;21
1822;6701;4725;CC21;21
1822;6720;1961;CC21;21
1822;13640;1884;CC21;21
1829;6620;170;CC257;257
1829;6701;4883;CC257;257
1829;6720;2125;CC257;257
1829;13640;1821;CC257;257
1830;6620;3306;CC573;573
1830;6701;6798;CC573;573
1830;6720;2085;CC573;573
1830;13640;4779;CC573;573
1831;6620;37;CC257;257
1831;6701;4795;CC257;257
1831;6720;2055;CC257;257
1831;13640;1924;CC257;257
1834;6620;2906;CC661;661
1834;6701;6127;CC661;661
1834;6720;2986;CC661;661
1834;13640;2756;CC661;661
1835;6620;3052;CC45;45
1835;6701;4764;CC45;45
1835;6720;2129;CC45;45
1835;13640;4469;CC45;45
2258;6620;3025;CC45;45
2258;6701;5068;CC45;45
2258;6720;2347;CC45;45
2258;13640;2906;CC45;45
2259;6620;1553;CC607;607
2259;6701;5684;CC607;607
2259;6720;2413;CC607;607
2259;13640;2575;CC607;607
2261;6620;4375;CC48;48
2261;6701;4380;CC48;48
2261;6720;4806;CC48;48
2261;13640;5344;CC48;48
2262;6620;1108;CC21;21
2262;6701;3990;CC21;21
2262;6720;2855;CC21;21
2262;13640;2743;CC21;21
2265;6620;1494;CC45;45
2265;6701;4921;CC45;45
2265;6720;760;CC45;45
2265;13640;2986;CC45;45
2266;6620;4583;CC45;45
2266;6701;5722;CC45;45
2266;6720;4692;CC45;45
2266;13640;4083;CC45;45
2267;6620;5533;CC460;460
2267;6701;8485;CC460;460
2267;6720;5383;CC460;460
2267;13640;4738;CC460;460
2268;6620;5533;CC460;460
2268;6701;8485;CC460;460
2268;6720;5383;CC460;460
2268;13640;4738;CC460;460
2269;6620;5533;CC460;460
2269;6701;8485;CC460;460
2269;6720;5383;CC460;460
2269;13640;4738;CC460;460
2270;6620;731;CC257;257
2270;6701;5411;CC257;257
2270;6720;2639;CC257;257
2270;13640;2475;CC257;257
2271;6620;2115;CC257;257
2271;6701;5668;CC257;257
2271;6720;3223;CC257;257
2271;13640;3731;CC257;257
2272;6620;1553;CC607;607
2272;6701;5684;CC607;607
2272;6720;2413;CC607;607
2272;13640;2575;CC607;607
2273;6620;2603;CC607;607
2273;6701;5908;CC607;607
2273;6720;3405;CC607;607
2273;13640;3871;CC607;607
2476;6620;5824;CC21;21
2476;6701;5904;CC21;21
2476;6720;6168;CC21;21
2476;13640;6664;CC21;21
3004;6620;490;CC61;61
3004;6701;4977;CC61;61
3004;6720;2242;CC61;61
3004;13640;2165;CC61;61
3534;6620;3261;CC283;283
3534;6701;6419;CC283;283
3534;6720;2740;CC283;283
3534;13640;4804;CC283;283
3535;6620;1236;CC21;21
3535;6701;4129;CC21;21
3535;6720;2983;CC21;21
3535;13640;2878;CC21;21
3536;6620;1086;CC48;48
3536;6701;4023;CC48;48
3536;6720;2861;CC48;48
3536;13640;2750;CC48;48
3537;6620;2413;CC45;45
3537;6701;4292;CC45;45
3537;6720;1862;CC45;45
3537;13640;3943;CC45;45
3538;6620;3455;CC283;283
3538;6701;7072;CC283;283
3538;6720;2997;CC283;283
3538;13640;3382;CC283;283
3539;6620;3689;CC464;464
3539;6701;6943;CC464;464
3539;6720;4304;CC464;464
3539;13640;3609;CC464;464
3540;6620;4306;CC45;45
3540;6701;5704;CC45;45
3540;6720;3662;CC45;45
3540;13640;4025;CC45;45
3541;6620;10252;CC45;45
3541;6701;8615;CC45;45
3541;6720;9431;CC45;45
3541;13640;9297;CC45;45
3543;6620;5932;CC464;464
3543;6701;7028;CC464;464
3543;6720;6008;CC464;464
3543;13640;7199;CC464;464
3544;6620;2368;CC677;677
3544;6701;6122;CC677;677
3544;6720;2218;CC677;677
3544;13640;3930;CC677;677
3545;6620;3611;CC45;45
3545;6701;5641;CC45;45
3545;6720;2906;CC45;45
3545;13640;3507;CC45;45
3546;6620;216;CC464;464
3546;6701;4681;CC464;464
3546;6720;1964;CC464;464
3546;13640;1874;CC464;464
3547;6620;2413;CC45;45
3547;6701;4292;CC45;45
3547;6720;1862;CC45;45
3547;13640;3943;CC45;45
3548;6620;4489;CC45;45
3548;6701;5637;CC45;45
3548;6720;4239;CC45;45
3548;13640;5386;CC45;45
3549;6620;1080;CC658;658
3549;6701;3870;CC658;658
3549;6720;2835;CC658;658
3549;13640;2752;CC658;658
3550;6620;580;CC353;353
3550;6701;4898;CC353;353
3550;6720;2293;CC353;353
3550;13640;1814;CC353;353
3551;6620;1382;CC21;21
3551;6701;5353;CC21;21
3551;6720;3093;CC21;21
3551;13640;2600;CC21;21
3552;6620;4820;CC354;354
3552;6701;8105;CC354;354
3552;6720;5589;CC354;354
3552;13640;4661;CC354;354
3553;6620;2394;CC354;354
3553;6701;4276;CC354;354
3553;6720;3619;CC354;354
3553;13640;3379;CC354;354
3554;6620;1535;CC353;353
3554;6701;5822;CC353;353
3554;6720;2319;CC353;353
3554;13640;2668;CC353;353
3555;6620;6795;CC353;353
3555;6701;7410;CC353;353
3555;6720;6706;CC353;353
3555;13640;5501;CC353;353
3556;6620;9832;CC433;433
3556;6701;8445;CC433;433
3556;6720;9217;CC433;433
3556;13640;8607;CC433;433
3557;6620;1704;CC21;21
3557;6701;4644;CC21;21
3557;6720;3464;CC21;21
3557;13640;3345;CC21;21
3558;6620;2827;CC45;45
3558;6701;4722;CC45;45
3558;6720;2239;CC45;45
3558;13640;4373;CC45;45
3559;6620;3333;CC45;45
3559;6701;4929;CC45;45
3559;6720;2774;CC45;45
3559;13640;4781;CC45;45
3560;6620;3350;CC45;45
3560;6701;4838;CC45;45
3560;6720;2659;CC45;45
3560;13640;4822;CC45;45
3561;6620;221;CC21;21
3561;6701;4716;CC21;21
